time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20131027:0800,25.91,57.6,750,704,211,404.65,2.83,8,90196
20131027:0900,26.09,55.65,643,724.98,166,390.4,2.76,4,90098
20131027:1000,25.8,55.6,461,636.35,143,390.4,2.62,2,90054
20131027:1100,25.26,57.7,251,510.37,97,383.6,2.28,4,90089
20131027:1200,23.86,63.45,39,141.95,28,371.8,1.86,12,90134
20131027:1300,22.46,69.3,0,0,0,361.8,1.79,21,90188
20131027:1400,21.34,75.3,0,0,0,357.6,1.72,34,90295
20131027:1500,20.41,81.25,0,0,0,360.4,1.59,46,90366
20131027:1600,19.59,85.8,0,0,0,357,1.52,54,90402
20131027:1700,18.91,88.85,0,0,0,355.2,1.45,54,90402
20131027:1800,18.38,90.55,0,0,0,352.4,1.52,52,90384
20131027:1900,18.38,90.25,0,0,0,353.2,1.1,53,90366
20131027:2000,17.86,90.85,0,0,0,343.6,1.24,48,90357
20131027:2100,17.41,91.55,0,0,0,342.4,1.31,43,90313
20131027:2200,17.08,92.1,0,0,0,342.8,1.38,38,90330
20131027:2300,16.9,92.55,0,0,0,347.4,1.45,37,90295
20131028:0000,16.77,92.6,0,0,0,346,1.45,42,90330
20131028:0100,16.47,92.8,0,0,0,340.05,1.45,47,90375
20131028:0200,18.34,91.6,162,389.72,77,340.4,0.97,43,90473
20131028:0300,21.76,76.45,384,615.55,121,352.8,1.24,23,90527
20131028:0400,23.12,65.3,572,681.69,162,357.4,2.14,4,90545
20131028:0500,24,60.05,551,275.8,350,360.6,2.76,352,90545
20131028:0600,24.5,56.6,786,701.97,224,375.6,2.69,347,90464
20131028:0700,25.13,55.35,836,823.88,167,375,2.07,336,90384
20131028:0800,25.35,52.7,721,623.17,246,376,1.93,336,90286
20131028:0900,25.67,50.4,601,583.52,219,376.2,1.93,338,90223
20131028:1000,25.52,49.05,465,670.56,132,376.4,1.86,339,90241
20131028:1100,24.93,52.3,240,455.07,104,372.4,1.52,340,90241
20131028:1200,23.33,63.85,36,120.18,27,371,1.1,338,90313
20131028:1300,21.45,74.8,0,0,0,357,0.9,349,90357
20131028:1400,21.19,69,0,0,0,352.4,0.69,6,90464
20131028:1500,20.74,69.5,0,0,0,353,0.69,50,90518
20131028:1600,19.26,77.3,0,0,0,348,1.03,79,90545
20131028:1700,18.04,83.4,0,0,0,345,1.24,89,90536
